"Designator","MPN / Seeed SKU","Qty","Link"
"C1, C4, C5, C8, C11, C14, C15, C16, C17, C18, C19, C21",302010024,12,
"C12, C13",302010018,2,
"C2, C3, C6, C9, C10",302010178,5,
"C20",302010179,1,
"C7",302010242,1,
"D1","SMBJ15CA-13-F",1,"ShenZhen OPL"
"D2, D5",304020028,2,
"D3",304090043,1,
"D4",304090044,1,
"D6",304090044,1,
"D7",304090045,1,
"ESD1",304050022,1,
"F1",307010002,1,
"J1",320120002,1,
"J2, J4, J5",320030065,3,
"J3",320030019,1,
"J6, J8",320110033,2,
"J7",320020027,1,
"L1",303030006,1,
"L2",303010147,1,
"Q1",305030010,1,
"Q2",305030014,1,
"R1, R8, R9, R10",301010456,4,
"R11, R13, R14, R20, R23, R29",301010047,6,
"R12",301010043,1,
"R15, R16, R17, R18, R21, R22, R24, R25, R26, R27",301010006,10,
"R19",301010000,1,
"R2, R3",301010052,2,
"R28",301010013,1,
"R4",301010444,1,
"R5",301010035,1,
"R6",301010215,1,
"R7",301010193,1,
"SW1",311020025,1,
"U1",310030097,1,
"U2",310030121,1,
"U3",317060163,1,
"U5",310010016,1,
"USB1",320010000,1,
"X1",306010049,1,
